host_timestamp_s,time_ms,connected,magnet_detected,magnet_too_weak,magnet_too_strong,agc,magnitude,raw_count,unwrapped_count,theta_deg,theta_rad,omega_rad_s
1776530170.480746,3539,True,False,True,False,255,331,2229,2229,0.0879,0.001534,0.0
1776530170.496194,3549,True,False,True,False,255,330,2228,2228,0.0,0.0,-0.153459
1776530170.504691,3559,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.514816,3569,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.528887,3579,True,False,True,False,255,330,2229,2229,0.0879,0.001534,0.153398
1776530170.537596,3589,True,False,True,False,255,331,2227,2227,-0.0879,-0.001534,-0.306796
1776530170.545810,3599,True,False,True,False,255,331,2228,2228,0.0,0.0,0.153398
1776530170.554822,3609,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.565229,3619,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.575470,3629,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.585861,3639,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
1776530170.598062,3649,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
1776530170.607294,3659,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.616307,3668,True,False,True,False,255,331,2229,2229,0.0879,0.001534,0.153459
1776530170.627715,3679,True,False,True,False,255,331,2228,2228,0.0,0.0,-0.153398
1776530170.628260,3689,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.647305,3699,True,False,True,False,255,330,2229,2229,0.0879,0.001534,0.153398
1776530170.647305,3709,True,False,True,False,255,329,2228,2228,0.0,0.0,-0.153459
1776530170.668591,3719,True,False,True,False,255,329,2229,2229,0.0879,0.001534,0.153398
1776530170.676611,3729,True,False,True,False,255,330,2229,2229,0.0879,0.001534,0.0
1776530170.687283,3739,True,False,True,False,255,331,2229,2229,0.0879,0.001534,0.0
1776530170.696686,3749,True,False,True,False,255,330,2229,2229,0.0879,0.001534,0.0
1776530170.704114,3759,True,False,True,False,255,330,2229,2229,0.0879,0.001534,0.0
1776530170.717209,3769,True,False,True,False,255,331,2228,2228,0.0,0.0,-0.153337
1776530170.717209,3779,True,False,True,False,255,329,2228,2228,0.0,0.0,0.0
1776530170.737893,3789,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
1776530170.738493,3799,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.758531,3809,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
1776530170.766587,3819,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.778693,3829,True,False,True,False,255,331,2228,2228,0.0,0.0,0.0
1776530170.781697,3838,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
1776530170.790118,3849,True,False,True,False,255,330,2228,2228,0.0,0.0,0.0
