host_timestamp_s,time_ms,connected,magnet_detected,magnet_too_weak,magnet_too_strong,agc,magnitude,raw_count,unwrapped_count,theta_deg,theta_rad,omega_rad_s
1776529866.611006,58129,True,False,True,False,255,331,2224,2224,0.0,0.0,-0.153398
1776529866.616100,58139,True,False,True,False,255,333,2224,2224,0.0,0.0,0.0
1776529866.631186,58149,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.639610,58159,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.645878,58169,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.657396,58179,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529866.667186,58189,True,False,True,False,255,333,2224,2224,0.0,0.0,0.0
1776529866.680159,58199,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.689128,58209,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529866.700949,58219,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.708209,58229,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.712012,58238,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.728539,58249,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.738753,58259,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.749138,58269,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.749138,58279,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.769905,58289,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.777684,58299,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.789399,58309,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.799574,58319,True,False,True,False,255,332,2223,2223,-0.0879,-0.001534,-0.153337
1776529866.807616,58329,True,False,True,False,255,333,2225,2225,0.0879,0.001534,0.306919
1776529866.819942,58339,True,False,True,False,255,331,2224,2224,0.0,0.0,-0.153398
1776529866.819942,58349,True,False,True,False,255,333,2225,2225,0.0879,0.001534,0.153398
1776529866.840477,58359,True,False,True,False,255,333,2224,2224,0.0,0.0,-0.153398
1776529866.840477,58369,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529866.852893,58379,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.861061,58389,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.875947,58399,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529866.881595,58408,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.895797,58419,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.909839,58429,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529866.918352,58439,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.923356,58449,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.933589,58459,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.944544,58469,True,False,True,False,255,333,2224,2224,0.0,0.0,0.0
1776529866.956172,58479,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529866.964320,58489,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.978253,58499,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.986845,58509,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529866.996247,58519,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529867.005862,58529,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529867.016235,58539,True,False,True,False,255,330,2224,2224,0.0,0.0,0.0
1776529867.027559,58549,True,False,True,False,255,331,2224,2224,0.0,0.0,0.0
1776529867.039247,58559,True,False,True,False,255,332,2224,2224,0.0,0.0,0.0
1776529867.048552,58569,True,False,True,False,255,332,2225,2225,0.0879,0.001534,0.153398
1776529867.057306,58579,True,False,True,False,255,331,2225,2225,0.0879,0.001534,0.0
1776529867.066748,58589,True,False,True,False,255,331,2224,2224,0.0,0.0,-0.153398
