case_name,case_description,length_m,q_x,q_x_dot,q_theta,q_theta_dot,R,K_x,K_x_dot,K_theta,K_theta_dot,peak_x_m,peak_x_dot_m_s,peak_theta_deg,peak_theta_dot_deg_s,peak_u_m_s2,settle_time_s
angle_aggressive,"Heavier theta and theta_dot penalty",0.666666666666667,1,0.1,100,2,1,-1,-2.15170646530001,-32.0288686963518,-8.05721314437992,0.2640538506933,0.333242757462281,5,13.2736042716007,2.79504607220142,1.55963302752294
angle_aggressive,"Heavier theta and theta_dot penalty",0.722222222222222,1,0.1,100,2,1,-1,-2.16933494053002,-32.4024990830225,-8.48140461227539,0.277883539778557,0.347305292503495,5,12.9476315475018,2.82765147436593,1.60967472894078
angle_aggressive,"Heavier theta and theta_dot penalty",0.777777777777778,1,0.1,100,2,1,-1,-2.18638592558126,-32.7667901534189,-8.89921530575517,0.291483009781959,0.360915712929878,5,12.6563986076634,2.85944186743609,1.65137614678899
angle_aggressive,"Heavier theta and theta_dot penalty",0.833333333333333,1,0.1,100,2,1,-0.999999999999994,-2.20291662659014,-33.122688360484,-9.31139333777366,0.30487619524715,0.374120477521937,5,12.393941328665,2.89049984501224,1.6930775646372
angle_aggressive,"Heavier theta and theta_dot penalty",0.888888888888889,1,0.1,100,2,1,-1.00000000000002,-2.21897531125226,-33.4709912736998,-9.71856669575919,0.318083972049792,0.386956844233452,5,12.1555589012636,2.92089500816176,1.7347789824854
angle_aggressive,"Heavier theta and theta_dot penalty",0.944444444444444,1,0.1,100,2,1,-0.999999999999997,-2.23460315183471,-33.81237836256,-10.1212682734772,0.331119452920143,0.399455020487582,5,11.9374997108019,2.95068665178381,1.76814011676397
angle_aggressive,"Heavier theta and theta_dot penalty",1,1,0.1,100,2,1,-0.999999999999994,-2.24983560652104,-34.1474340574948,-10.5199545968978,0.343996382221119,0.411690337585489,5,11.7395756364623,2.97992577705465,1.80150125104254
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.5,10,1,50,1,1,-3.16227766016838,-4.26820797106522,-36.5161699081863,-8.1495034800053,0.151294083708172,0.296839634826656,5,18.1050600148841,3.18663697557763,1.19266055045872
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.555555555555556,10,1,50,1,1,-3.16227766016844,-4.33943347708061,-37.4671221863202,-8.81288622954511,0.162844004586015,0.314414120221106,5,17.6387847691822,3.26962321699152,1.22602168473728
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.611111111111111,10,1,50,1,1,-3.16227766016845,-4.40750341647296,-38.390650827954,-9.47089382111464,0.174180928174681,0.331351678369302,5,17.2351129895992,3.35021629465642,1.25104253544621
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.666666666666667,10,1,50,1,1,-3.16227766016832,-4.4728169839872,-39.2902955847642,-10.1247479831315,0.185331992110639,0.347794227457787,5,16.8799342265871,3.42872511017963,1.28440366972477
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.722222222222222,10,1,50,1,1,-3.16227766016844,-4.53569484820195,-40.1688928488002,-10.7754075877465,0.196320138813754,0.363799159504645,5,16.5648021313956,3.50539718546184,1.30942452043369
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.777777777777778,10,1,50,1,1,-3.16227766016839,-4.59639928258871,-41.028756930718,-11.4236384743344,0.207164146175122,0.379339263411167,5,16.2872274591105,3.58043448220736,1.33444537114262
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.833333333333333,10,1,50,1,1,-3.16227766016832,-4.6551481028003,-41.8718053896709,-12.0700613835834,0.217879535105727,0.394627444522987,5,16.0337816185698,3.65400433902032,1.35946622185154
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.888888888888889,10,1,50,1,1,-3.16227766016836,-4.71212459249116,-42.6996481669553,-12.7151858042156,0.228479234052751,0.409503241826652,5,15.8036640384035,3.72624724978266,1.37614678899083
cart_conservative,"Heavier x and x_dot penalty to limit travel",0.944444444444444,10,1,50,1,1,-3.16227766016834,-4.76748474538294,-43.5136525299497,-13.3594344550736,0.2389740777221,0.424193145298587,5,15.5955972103621,3.79728253108191,1.40116763969975
cart_conservative,"Heavier x and x_dot penalty to limit travel",1,10,1,50,1,1,-3.16227766016841,-4.82136266108892,-44.3149913932844,-14.0031613664751,0.249373189098635,0.438536834637949,5,15.4008482996632,3.86721253902881,1.41784820683903
input_conservative,"Same state weights as baseline, larger input penalty",0.5,1,0.1,50,1,10,-0.316227766016839,-0.952296253571283,-23.7212967642173,-5.34088685370708,0.368469271649795,0.310051216874189,5,11.2228460607374,2.07007365689134,1.61801501251043
input_conservative,"Same state weights as baseline, larger input penalty",0.555555555555556,1,0.1,50,1,10,-0.31622776601685,-0.959890910526378,-23.9465533888855,-5.68256060487975,0.391671859062305,0.325499760449399,5,10.799357169739,2.08973100570329,1.7347789824854
